Player,Nation,Pos,Squad,Age,birth_year,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Aaron Cresswell,eng ENG,DF,West Ham,35-136,1989,14,7,589,6.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.19,0.02,0.19,Matches
Aaron Ramsdale,eng ENG,GK,Southampton,26-351,1998,26,26,"2,340",26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-155,1997,32,31,"2,794",31.0,2,2,4,2,0,0,1,0,1.2,1.2,2.9,4.0,98,125,139,0.06,0.06,0.13,0.06,0.13,0.04,0.09,0.13,0.04,0.13,Matches
Abdoulaye Doucouré,ml MLI,MF,Everton,32-119,1993,30,29,"2,425",26.9,3,1,4,3,0,0,5,1,3.9,3.9,2.3,6.2,40,78,91,0.11,0.04,0.15,0.11,0.15,0.14,0.09,0.23,0.14,0.23,Matches
Abdukodir Khusanov,uz UZB,DF,Manchester City,21-060,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-053,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches
Adam Armstrong,eng ENG,"FW,MF",Southampton,28-079,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
Adam Lallana,eng ENG,MF,Southampton,36-355,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches
Adam Smith,eng ENG,DF,Bournemouth,34-001,1991,22,17,"1,409",15.7,0,0,0,0,0,0,6,0,0.7,0.7,0.3,1.0,12,40,31,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Adam Webster,eng ENG,DF,Brighton,30-116,1995,11,8,617,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Matches
Adam Wharton,eng ENG,MF,Crystal Palace,20-332,2004,19,15,"1,258",14.0,0,2,2,0,0,0,2,0,0.3,0.3,3.0,3.3,14,105,10,0.00,0.14,0.14,0.00,0.14,0.02,0.21,0.24,0.02,0.24,Matches
Adama Traoré,es ESP,"FW,MF",Fulham,29-095,1996,32,16,"1,568",17.4,2,6,8,2,0,0,2,0,3.8,3.8,4.7,8.5,87,61,143,0.11,0.34,0.46,0.11,0.46,0.22,0.27,0.49,0.22,0.49,Matches
Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-342,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-303,2004,33,22,"2,056",22.8,5,1,6,5,0,0,2,0,7.0,7.0,3.6,10.6,134,54,274,0.22,0.04,0.26,0.22,0.26,0.31,0.16,0.46,0.31,0.46,Matches
Alex Iwobi,ng NGA,"FW,MF",Fulham,28-362,1996,34,32,"2,721",30.2,9,6,15,9,0,0,1,0,4.5,4.5,6.5,11.0,132,196,221,0.30,0.20,0.50,0.30,0.50,0.15,0.22,0.36,0.15,0.36,Matches
Alex McCarthy,eng ENG,GK,Southampton,35-148,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alex Palmer,eng ENG,GK,Ipswich Town,28-263,1996,10,10,900,10.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alex Scott,eng ENG,MF,Bournemouth,21-252,2003,17,7,683,7.6,0,0,0,0,0,0,2,0,0.7,0.7,0.8,1.5,14,48,32,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.19,0.09,0.19,Matches
Alexander Isak,se SWE,FW,Newcastle Utd,25-221,1999,31,31,"2,487",27.6,22,6,28,19,3,3,1,0,19.0,16.6,4.0,20.7,77,77,196,0.80,0.22,1.01,0.69,0.90,0.69,0.15,0.83,0.60,0.75,Matches
Alexis Mac Allister,ar ARG,MF,Liverpool,26-127,1998,33,30,"2,553",28.4,5,4,9,5,0,0,6,0,2.8,2.8,4.4,7.3,34,170,78,0.18,0.14,0.32,0.18,0.32,0.10,0.16,0.26,0.10,0.26,Matches
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-060,2002,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.00,0.00,0.00,0.00,0.00,0.24,0.05,0.28,0.24,0.28,Matches
Alisson,br BRA,GK,Liverpool,32-210,1992,24,24,"2,148",23.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Alphonse Areola,fr FRA,GK,West Ham,32-062,1993,23,22,"1,990",22.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-293,2002,22,17,"1,594",17.7,6,6,12,6,0,0,3,0,4.1,4.1,3.9,8.0,92,53,159,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,Matches
Amadou Onana,be BEL,MF,Aston Villa,23-257,2001,22,17,"1,348",15.0,3,0,3,3,0,0,4,0,2.1,2.1,0.3,2.4,20,58,13,0.20,0.00,0.20,0.20,0.20,0.14,0.02,0.16,0.14,0.16,Matches
Andreas Pereira,br BRA,MF,Fulham,29-119,1996,31,23,"1,879",20.9,2,4,6,2,0,1,7,0,3.5,2.7,4.5,7.2,27,99,78,0.10,0.19,0.29,0.10,0.29,0.17,0.21,0.38,0.13,0.34,Matches
Andrew Robertson,sct SCO,DF,Liverpool,31-050,1994,31,27,"2,308",25.6,0,0,0,0,0,0,3,1,1.0,1.0,4.1,5.1,58,165,95,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.20,0.04,0.20,Matches
André,br BRA,MF,Wolves,23-288,2001,29,27,"2,170",24.1,0,0,0,0,0,0,7,0,0.4,0.4,0.7,1.0,8,92,11,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
André Onana,cm CMR,GK,Manchester Utd,29-028,1996,33,33,"2,970",33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Andrés García,es ESP,"DF,MF",Aston Villa,22-082,2003,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
Andy Irving,sct SCO,MF,West Ham,24-352,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,Matches
Anthony Elanga,se SWE,FW,Nott'ham Forest,23-003,2002,33,26,"2,052",22.8,6,9,15,6,0,0,1,0,3.9,3.9,4.4,8.4,79,47,164,0.26,0.39,0.66,0.26,0.66,0.17,0.19,0.37,0.17,0.37,Matches
Anthony Gordon,eng ENG,FW,Newcastle Utd,24-065,2001,30,25,"2,200",24.4,6,5,11,5,1,2,2,0,8.0,6.4,4.9,11.3,109,92,194,0.25,0.20,0.45,0.20,0.41,0.33,0.20,0.53,0.26,0.46,Matches
Antoine Semenyo,gh GHA,FW,Bournemouth,25-113,2000,33,33,"2,907",32.3,9,4,13,9,0,0,9,0,9.3,9.3,5.7,15.0,132,106,259,0.28,0.12,0.40,0.28,0.40,0.29,0.18,0.46,0.29,0.46,Matches
Antonee Robinson,us USA,DF,Fulham,27-265,1997,33,32,"2,899",32.2,0,10,10,0,0,0,8,0,0.7,0.7,4.1,4.8,110,120,257,0.00,0.31,0.31,0.00,0.31,0.02,0.13,0.15,0.02,0.15,Matches
Antony,br BRA,"DF,MF",Manchester Utd,25-065,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches
Antonín Kinský,cz CZE,GK,Tottenham,22-048,2003,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Archie Gray,eng ENG,"DF,MF",Tottenham,19-049,2006,24,15,"1,391",15.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,32,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Arijanet Muric,xk KVX,GK,Ipswich Town,26-174,1998,18,18,"1,620",18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Armando Broja,al ALB,FW,Everton,23-232,2001,10,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,12,2,26,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
Armel Bella Kotchap,de GER,DF,Southampton,23-140,2001,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
Ashley Young,eng ENG,"DF,FW",Everton,39-295,1985,28,17,"1,613",17.9,1,3,4,1,0,0,6,1,0.3,0.3,1.6,1.8,20,82,26,0.06,0.17,0.22,0.06,0.22,0.01,0.09,0.10,0.01,0.10,Matches
Axel Disasi,fr FRA,DF,Aston Villa,27-050,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
Axel Disasi,fr FRA,DF,Chelsea,27-050,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.00,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches
Axel Tuanzebe,cd COD,DF,Ipswich Town,27-167,1997,18,17,"1,445",16.1,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,9,45,8,0.00,0.06,0.06,0.00,0.06,0.01,0.02,0.03,0.01,0.03,Matches
Ayden Heaven,eng ENG,DF,Manchester Utd,18-220,2006,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bart Verbruggen,nl NED,GK,Brighton,22-255,2002,32,32,"2,880",32.0,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Ben Brereton,cl CHI,FW,Southampton,26-012,1999,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
Ben Chilwell,eng ENG,DF,Crystal Palace,28-130,1996,6,0,139,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,3,10,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.18,0.05,0.18,Matches
Ben Davies,wls WAL,DF,Tottenham,32-006,1993,13,11,"1,036",11.5,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,13,49,6,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Ben Godfrey,eng ENG,DF,Ipswich Town,27-105,1998,3,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-096,2000,22,14,"1,348",15.0,1,2,3,1,0,0,5,1,1.1,1.1,1.3,2.3,16,26,33,0.07,0.13,0.20,0.07,0.20,0.07,0.09,0.16,0.07,0.16,Matches
Ben Mee,eng ENG,DF,Brentford,35-221,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben White,eng ENG,DF,Arsenal,27-204,1997,13,9,856,9.5,0,1,1,0,0,0,2,0,0.4,0.4,0.8,1.2,10,42,27,0.00,0.11,0.11,0.00,0.11,0.04,0.09,0.13,0.04,0.13,Matches
Benoît Badiashile,fr FRA,DF,Chelsea,24-035,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bernardo Silva,pt POR,"MF,FW",Manchester City,30-263,1994,29,25,"2,311",25.7,3,4,7,3,0,0,7,0,3.2,3.2,4.2,7.5,92,109,180,0.12,0.16,0.27,0.12,0.27,0.13,0.17,0.29,0.13,0.29,Matches
Bernd Leno,de GER,GK,Fulham,33-057,1992,34,34,"3,060",34.0,0,1,1,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Beto,gw GNB,FW,Everton,27-089,1998,26,11,"1,192",13.2,6,0,6,6,0,0,2,0,6.1,6.1,0.8,6.9,12,9,62,0.45,0.00,0.45,0.45,0.45,0.46,0.06,0.52,0.46,0.52,Matches
